Station_ID,Decorrelation_Scale_km,Amplitude_A,Offset_B,dx_param,R_squared,r_crit,n_neighbors_100km
00000272,10.471861588183247,0.7569963615974934,0.2430036384025066,9.69111952826424,0.4333584800663024,0.47851116040357516,28
00000275,18.961006826394524,0.7454909481728814,0.2545090518271186,16.79436329086026,0.49366049296232284,0.46289232537620106,30
00002725,20.180202839576374,0.7381755013765948,0.2618244986234052,16.995681072144954,0.47517379886111266,0.4420715390402385,33
00002737,23.076053440365232,0.6993555325394883,0.30064446746051166,18.252492959543368,0.5329676020510898,0.4420715390402385,33
00002744,21.004455557867406,0.7293527094290444,0.2706472905709556,17.23226198336056,0.5164156934265789,0.43572774476350534,34
00002750,15.695973812561972,0.7798303401901033,0.22016965980989667,13.690368885316035,0.5749206148930985,0.42964789554745075,35
00002758,0.71425398086774,0.6844939720282575,0.31550602797174254,0.53367401553569,0.3732579365951031,0.42964789554745075,35
00002811,8.806960578898375,0.6918247785306202,0.3081752214693798,7.1962898926059635,0.4082029422872677,0.46289232537620106,30
00002823,9.782388598611572,0.8461080725325044,0.15389192746749558,9.527025308919649,0.3313282528609458,0.448698792647094,32
00002848,14.341780136358821,0.832490793705848,0.167509206294152,13.341632707976373,0.35862915755008506,0.42964789554745075,35
00003064,19.932367649019525,0.7474904685888304,0.2525095314111696,17.016921054966645,0.43365033498815453,0.4420715390402385,33
00003078,18.034700887980293,0.7916495433752713,0.20835045662472873,15.97423582547086,0.44033163778439366,0.42964789554745075,35
00003079,23.011169528886608,0.9173270822175165,0.08267291778248353,23.337714946576533,0.6988017224749269,0.42964789554745075,35
00003086,20.752208537841412,0.958931835592134,0.04106816440786598,22.225083404662858,0.5360427656659628,0.4420715390402385,33
00003089,18.004795798641656,0.9559441459492541,0.04405585405074586,18.739100558609255,0.7321805889019095,0.42381429398696585,36
00003695,14.409338010689721,0.8439349988806794,0.15606500111932065,14.32513630103232,0.6217354370948056,0.46289232537620106,30
00003698,18.789875161603295,0.7351376705770165,0.2648623294229835,15.008650889369894,0.34721450694586375,0.4182108494265614,37
