zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00028119,8.2,7.9,8.1,9.2,7.5,8.1,8.6,8.9,8.7,7.8,7.8,9.1,8.4,9.2,7.0,9.7,7.7,7.1,8.7,8.5,8.8,8.4,8.7,8.0,7.8,8.9,8.1,8.1,8.7,9.0,8.7,,8.7,8.4,8.9,8.3,8.4,8.4,8.3,8.2,8.5,8.2,8.4
00028129,7.3,8.3,7.5,7.9,6.7,7.6,8.6,8.4,7.7,8.0,7.7,8.2,8.5,9.6,6.9,9.0,6.7,7.6,8.3,7.2,8.4,8.3,7.6,7.9,8.0,8.2,8.2,7.6,8.9,8.4,8.3,,8.1,8.0,8.3,8.0,8.2,8.1,8.1,8.0,8.5,8.4,8.5
00028132,7.2,7.5,7.3,8.2,5.3,7.5,8.7,7.7,7.4,7.7,7.2,8.2,8.3,9.6,5.2,8.3,7.2,6.6,8.1,7.7,8.1,7.3,8.0,7.7,6.9,8.1,8.6,7.4,8.3,8.1,8.1,,7.5,8.3,8.1,7.2,8.3,8.4,7.7,7.1,8.2,8.2,8.2
00028143,7.0,7.7,7.8,7.5,6.2,5.7,8.1,8.4,7.1,8.1,7.1,8.1,8.1,9.0,3.9,7.8,6.5,7.0,7.8,6.9,7.8,7.3,6.4,7.0,7.4,7.8,7.7,7.7,7.8,7.8,8.1,,8.0,7.9,8.2,7.7,8.1,7.8,8.2,7.9,8.1,7.9,7.9
00028150,7.5,7.6,7.9,8.1,6.8,7.2,8.5,8.2,7.4,8.6,7.6,8.5,8.5,9.2,4.3,8.5,5.5,6.9,7.4,7.7,8.1,8.0,8.3,7.4,7.9,8.4,8.0,7.7,7.7,8.5,8.2,,8.4,7.5,8.6,7.9,8.1,8.1,8.1,8.0,8.2,8.6,8.4
00028153,7.8,7.2,7.7,7.0,5.5,6.5,8.5,8.0,7.6,8.1,6.1,7.2,8.1,8.2,4.9,9.0,5.5,5.7,6.9,7.5,7.5,6.8,6.0,7.2,7.8,8.2,7.8,7.4,7.2,7.7,7.9,,7.4,7.3,8.4,7.3,8.0,8.0,7.6,7.7,7.3,7.9,7.8
00028168,7.5,7.7,7.1,8.1,7.0,8.0,8.9,8.5,7.7,8.3,7.5,8.3,8.5,9.0,7.4,8.3,6.6,7.3,7.6,7.4,7.8,8.2,8.8,7.3,8.2,8.0,8.0,7.4,8.4,8.9,7.8,,8.8,7.9,8.5,8.2,8.3,8.7,8.4,8.4,8.2,8.3,8.5
00028169,6.9,7.4,7.4,7.2,5.2,6.0,8.8,7.8,6.6,7.5,6.6,7.3,7.6,8.7,6.1,7.8,6.3,6.4,7.2,7.7,7.0,7.3,7.5,7.3,7.1,7.7,7.3,7.2,7.4,8.6,7.4,,7.6,7.5,8.2,7.8,8.0,7.5,7.9,7.7,8.1,7.3,8.2
00033182,9.1,8.3,8.2,9.7,8.4,9.0,8.7,8.6,7.6,8.1,8.1,8.5,8.3,7.5,7.2,8.4,8.1,7.7,8.0,8.1,8.5,7.9,6.8,8.1,7.9,8.3,8.7,6.9,7.2,8.4,8.4,,8.4,7.6,9.6,9.0,9.0,8.8,8.4,5.4,10.0,9.0,8.4
00033204,9.0,7.6,8.3,8.1,8.9,7.6,8.5,8.3,7.7,8.0,7.8,8.0,7.9,7.6,8.0,8.5,7.9,7.7,7.8,8.4,8.0,7.8,8.3,8.2,8.0,8.5,8.4,8.0,7.1,8.6,8.8,,8.2,7.8,9.2,8.6,7.2,8.2,8.6,7.2,8.4,8.6,9.4
00033224,8.0,8.4,8.0,8.2,8.9,7.6,8.4,8.2,7.9,8.2,7.7,8.4,7.9,7.1,8.1,8.4,8.1,5.5,7.6,8.4,8.2,8.0,9.2,8.0,7.5,8.6,8.2,8.4,7.5,8.6,9.0,,8.2,7.8,8.8,8.2,9.2,8.4,8.4,7.8,8.0,8.6,8.0
00033237,7.7,8.0,7.9,8.4,7.9,7.7,8.4,8.1,7.9,8.0,7.7,8.0,8.0,6.8,7.9,8.4,8.1,7.8,7.1,8.3,8.8,7.9,9.0,7.6,7.3,8.4,8.3,8.0,7.6,8.8,8.4,,7.6,7.8,8.6,8.6,8.4,8.0,8.6,8.0,7.6,8.4,8.4
00033241,8.0,8.7,8.1,8.4,7.5,7.4,9.2,8.3,8.3,7.4,7.2,8.4,7.9,7.7,7.3,8.8,7.5,1.5,7.0,8.6,8.0,7.7,9.0,7.9,7.1,8.7,8.0,9.3,7.3,7.8,8.2,,8.2,8.2,9.4,8.4,9.6,8.4,7.4,8.2,7.4,8.0,8.0
00033248,7.2,7.8,7.6,8.3,7.8,7.5,8.1,8.5,7.2,7.7,7.7,7.5,7.6,7.9,7.5,8.3,8.0,7.8,4.8,7.9,7.4,7.3,8.6,7.8,7.9,8.2,7.8,6.3,7.8,8.6,8.8,,8.4,8.0,8.8,8.8,8.6,8.0,8.0,8.0,7.8,8.4,8.6
