K,silhouette_hiroshima,silhouette_osaka,silhouette_sediment
2,0.38638191242019626,0.28793478463387245,0.25201784747604683
3,0.40855290362931684,0.3083794250634149,0.27585434714404145
4,0.38132878036123447,0.2997103422045279,0.24838629908442644
5,0.3739923165217862,0.3369787166998591,0.2563454832381917
6,0.38985520751805985,0.36819826420826995,0.24169693182799493
