zettaicode,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,5.4,6.1,8.6,6.5,5.5,4.8,5.9,8.6,8.7,6.4,6.2,5.5,7.2,10.0,5.1,6.2,9.7,5.3,8.9,7.3,11.0,9.8,9.1,6.4,8.8,6.3,13.0,9.1,13.0,12.0,15.0,15.0,4.6,11.0,8.3,13.0,15.0,12.0,9.0,5.0,18.0
00000275,7.4,3.1,11.0,9.0,9.0,7.8,8.0,9.0,12.0,12.0,1.7,6.4,5.8,15.0,14.0,6.7,8.5,9.3,8.3,11.0,9.0,9.3,6.4,11.0,8.1,5.2,12.0,8.3,7.3,14.0,14.0,11.0,8.6,12.0,7.3,9.2,15.0,10.0,8.2,5.4,10.0
00002725,11.0,12.9,14.0,10.0,13.0,10.0,9.0,7.1,12.0,12.0,16.0,13.0,8.0,11.0,12.0,8.4,8.1,7.3,11.0,8.1,11.0,9.2,5.9,10.0,9.6,8.8,7.9,8.4,7.5,12.0,7.6,7.5,9.9,8.0,7.0,7.8,7.8,10.0,7.7,8.2,9.9
00002737,7.1,12.4,14.0,7.4,9.1,10.0,12.0,7.5,12.0,11.0,11.0,10.0,7.9,8.5,14.0,10.0,9.2,8.3,7.7,8.6,9.2,8.2,7.1,9.7,10.0,7.3,8.3,9.7,8.2,9.9,8.1,8.7,8.9,11.0,8.5,8.6,8.7,8.1,9.9,8.0,9.4
00002744,8.6,9.6,11.0,8.2,8.0,8.4,9.7,7.1,8.5,13.0,12.0,9.2,8.8,8.6,8.9,8.7,8.1,6.7,7.3,9.0,7.3,7.6,7.2,8.7,8.3,7.4,8.1,8.0,7.6,10.0,7.6,7.3,7.1,7.8,7.5,7.5,7.1,7.6,7.2,7.5,8.0
00002750,7.7,8.3,10.0,7.9,6.8,7.3,7.0,6.4,6.8,8.8,9.1,8.3,9.5,7.2,8.6,10.0,6.8,6.2,6.7,7.5,7.1,7.6,7.4,8.5,7.9,7.3,8.3,7.4,7.6,9.0,7.3,6.9,10.0,7.3,7.2,7.7,7.3,9.5,7.4,7.5,8.2
00002758,7.1,7.1,8.2,8.8,6.6,9.6,9.0,7.2,8.7,8.3,9.7,7.3,8.0,8.0,8.0,7.9,6.8,6.8,7.7,7.1,7.3,7.7,7.0,8.6,7.9,7.1,7.4,9.2,7.3,8.1,7.4,7.1,6.6,8.3,7.6,7.8,7.8,8.2,7.0,7.6,8.4
00002811,4.7,15.0,13.0,11.0,7.5,1.3,9.8,9.6,15.0,13.0,9.9,5.3,8.0,13.4,11.4,10.5,11.9,8.6,12.1,12.3,11.2,8.0,7.4,9.8,8.4,9.7,10.4,9.9,7.9,10.0,14.0,10.0,13.0,9.9,8.7,10.0,11.0,11.0,9.7,9.4,11.0
00002823,10.3,12.0,11.0,8.4,8.5,9.2,8.1,7.8,14.0,12.0,9.9,8.3,8.7,13.7,13.4,8.2,8.4,7.0,11.5,9.2,8.0,8.0,7.1,8.6,8.7,8.7,7.6,9.5,8.0,10.0,11.0,10.0,10.0,8.3,8.0,10.0,11.0,11.0,8.4,7.2,9.6
00002848,7.1,6.0,8.4,6.7,7.3,6.3,6.1,6.8,7.2,6.8,8.0,6.8,7.1,6.5,6.3,6.1,5.7,6.2,8.2,8.2,7.0,8.4,6.7,8.3,7.2,7.0,7.3,7.3,7.7,7.0,9.5,7.2,9.7,7.6,7.6,7.7,7.3,9.3,7.1,7.0,7.5
00003064,7.6,7.6,11.0,7.9,8.0,9.3,7.3,8.6,8.9,8.0,6.6,7.2,8.6,7.7,,6.7,9.1,6.6,8.0,7.4,6.9,7.3,8.8,8.7,7.0,7.3,7.2,8.3,7.4,7.6,7.0,7.1,8.0,7.2,7.3,7.7,7.3,8.2,8.1,7.8,7.1
00003078,7.7,7.4,8.5,6.6,6.9,8.9,7.2,8.1,7.6,8.1,6.5,7.3,7.3,7.3,,7.0,7.0,5.9,7.4,7.2,6.6,7.4,7.9,7.1,7.4,6.9,6.8,7.9,7.1,8.3,6.1,6.7,7.6,7.2,6.5,7.8,7.3,7.8,7.9,7.9,7.2
00003079,6.9,7.7,8.3,6.3,7.7,9.3,7.4,9.2,7.6,7.8,7.3,7.6,8.3,7.2,,7.1,7.6,7.5,7.4,7.2,7.2,7.4,7.8,7.2,7.2,7.2,7.7,8.1,7.4,8.6,7.1,7.0,7.5,7.2,7.3,8.0,7.6,7.8,7.9,7.6,7.3
00003086,7.6,7.9,8.6,6.8,8.5,8.0,7.3,9.5,8.6,7.7,7.5,7.7,8.3,7.8,,7.0,8.0,7.5,7.6,7.4,7.0,7.4,7.5,7.5,7.4,7.4,7.7,8.0,7.5,7.4,7.0,7.5,7.5,6.7,7.0,7.3,7.2,7.6,7.9,7.1,7.4
00003089,7.2,7.0,9.0,6.3,8.3,9.8,7.4,9.1,7.7,7.4,7.4,7.5,8.8,7.5,,6.8,8.5,5.1,7.7,7.2,6.9,7.7,7.9,7.9,7.5,7.5,7.4,8.9,7.5,7.8,7.0,7.1,7.6,7.6,6.8,7.7,7.3,7.1,8.6,7.5,7.5
00003695,8.3,6.8,9.2,7.6,6.6,7.8,7.6,8.0,7.9,9.7,7.9,7.0,7.7,8.0,6.8,6.8,6.8,7.4,7.4,7.1,6.8,7.6,6.8,8.5,6.8,6.9,7.2,7.7,7.1,8.6,8.4,7.0,6.9,6.7,6.8,6.9,6.8,9.1,7.5,7.1,7.2
00003698,7.5,7.1,8.5,9.5,7.5,7.9,8.7,8.3,8.5,8.5,9.2,6.9,7.8,9.8,6.2,7.3,7.6,7.3,7.2,7.7,6.6,6.5,7.1,6.7,7.0,7.1,7.5,8.1,7.4,7.5,7.9,7.4,7.4,6.9,6.9,7.3,6.9,8.3,7.4,7.5,6.9
00028119,7.5,8.8,6.2,6.3,6.5,7.3,6.3,6.5,8.9,6.4,7.0,9.8,6.3,6.7,9.2,7.4,7.7,6.1,7.5,7.6,6.5,7.7,6.6,6.9,7.2,7.7,7.0,8.6,7.6,7.2,7.4,7.4,7.0,7.2,8.2,7.9,7.3,7.3,7.2,7.2,7.5
00028129,6.6,6.9,8.2,8.1,7.1,7.3,7.5,7.7,7.8,6.8,9.8,8.3,7.4,7.3,8.7,7.5,8.7,6.6,7.7,10.1,7.4,7.0,7.4,7.2,7.6,7.4,7.4,7.7,7.5,7.1,7.7,7.4,7.0,7.5,7.2,8.1,7.3,7.8,7.6,7.5,7.4
00028132,7.7,7.6,11.0,10.5,7.0,8.0,8.4,7.6,10.7,10.9,12.3,9.6,6.9,8.8,7.7,8.9,10.6,7.9,8.2,10.9,6.4,7.3,8.4,8.7,8.3,8.8,9.0,8.7,7.5,9.3,8.5,9.2,8.0,9.0,10.0,8.7,7.9,10.0,9.0,8.0,8.6
00028143,7.3,8.2,12.1,8.0,8.3,7.4,7.7,7.8,8.7,7.5,9.0,8.7,7.5,7.3,8.8,8.2,9.2,7.1,8.1,8.0,8.4,7.4,7.9,7.8,7.4,7.5,7.6,7.9,8.3,7.3,7.3,7.9,7.6,7.4,7.1,8.8,7.4,8.6,7.4,7.4,7.4
00028150,7.9,10.3,10.2,11.7,8.2,7.5,8.9,8.2,8.3,9.7,9.1,8.6,6.6,7.2,9.4,7.4,8.5,7.8,8.4,11.4,9.8,7.8,8.6,7.8,7.8,8.4,7.7,9.5,7.9,8.2,7.7,7.5,7.7,7.5,7.5,9.2,7.7,10.0,7.6,7.5,8.9
00028153,7.1,7.9,9.1,8.4,8.2,8.0,7.4,7.8,8.1,7.9,9.6,8.8,8.3,7.5,8.3,8.1,8.8,6.6,7.7,8.1,7.5,7.4,7.4,7.7,7.4,7.4,7.3,8.1,8.6,7.2,7.2,7.8,7.6,7.6,7.3,8.1,7.4,8.0,7.9,7.2,7.6
00028168,7.6,10.3,9.2,8.4,7.4,7.9,8.9,8.1,10.2,8.3,8.9,8.8,7.5,7.8,10.0,7.4,8.8,6.8,8.1,8.5,8.9,7.9,8.8,7.7,7.2,8.4,7.5,9.1,8.1,7.4,7.9,7.4,7.6,7.6,7.5,9.6,7.7,8.8,7.8,7.3,7.9
00028169,7.6,9.4,9.3,7.5,7.7,7.8,8.3,7.8,9.2,7.8,9.3,8.7,7.1,7.4,8.0,7.7,8.5,7.4,7.7,8.1,8.6,8.0,7.5,7.5,7.3,8.8,7.4,8.3,8.3,8.0,7.4,7.6,7.8,8.2,7.4,8.9,7.4,8.0,7.7,7.3,7.6
00033182,7.3,9.0,5.5,11.0,7.9,7.9,8.0,8.3,7.8,8.6,8.4,7.4,7.7,8.2,5.9,5.6,8.2,6.8,8.3,7.3,6.4,6.9,7.9,6.8,8.2,8.4,7.8,8.8,7.4,8.2,7.6,8.0,8.8,8.4,6.0,9.8,7.0,8.6,7.2,7.4,9.0
00033204,6.7,8.5,8.2,7.0,7.5,6.8,7.7,6.7,7.6,6.7,7.8,7.3,6.7,8.4,7.5,7.1,8.3,7.1,8.1,7.2,7.4,7.8,6.2,5.5,7.3,8.0,8.5,7.0,7.0,8.0,7.2,7.2,8.4,8.6,6.6,6.2,7.4,7.4,7.6,6.6,10.0
00033224,6.4,7.0,6.6,5.9,6.2,6.8,7.0,6.8,6.7,7.1,7.0,6.5,6.7,5.3,6.2,6.2,6.4,6.7,6.5,6.2,6.4,7.5,6.3,6.7,6.7,6.0,6.4,6.6,7.0,7.4,6.4,6.6,6.6,7.6,6.6,6.6,6.6,6.0,7.6,6.6,7.6
00033237,6.4,7.6,8.2,6.7,6.3,6.4,7.0,6.5,7.5,6.6,7.8,6.3,7.0,6.2,6.3,6.2,6.2,6.7,6.6,6.5,6.2,7.0,6.5,6.2,6.9,7.6,7.1,6.6,6.4,7.2,6.2,6.6,7.2,7.2,8.2,7.2,7.0,6.0,6.6,6.0,7.6
00033241,6.0,8.8,8.3,8.2,5.9,7.0,7.4,7.5,11.0,7.2,6.9,7.4,6.2,6.5,7.5,6.8,6.7,7.2,7.5,7.0,8.2,9.9,7.4,6.4,5.8,7.6,7.3,7.8,8.0,8.2,4.4,7.4,7.8,7.6,8.2,7.8,7.0,7.4,7.6,6.8,8.0
00033248,6.8,7.4,10.0,7.9,6.9,6.5,7.6,5.6,7.6,7.6,9.7,6.9,7.1,8.0,6.8,6.4,6.2,7.0,7.4,6.9,6.3,8.4,7.5,6.1,7.4,7.6,8.5,7.6,7.0,7.8,6.4,7.6,7.0,7.6,3.4,8.0,6.8,9.0,5.6,7.0,9.0
00033276,6.9,7.1,9.3,7.5,7.6,6.5,7.4,6.5,7.5,8.6,8.7,6.9,7.3,7.4,6.7,7.4,7.2,6.9,7.3,7.5,7.5,8.0,7.8,7.8,7.4,6.4,8.4,8.2,7.6,7.6,7.2,7.8,7.6,8.4,7.0,9.8,7.0,9.0,6.8,7.2,9.2
00033277,6.9,8.0,10.0,10.0,6.9,6.4,7.2,5.9,8.5,7.5,10.0,6.6,7.1,7.6,6.5,7.6,7.6,7.4,7.9,7.2,7.3,7.1,8.5,7.0,8.9,8.3,8.3,8.6,7.6,9.4,7.8,7.0,8.0,8.6,6.8,10.0,7.8,8.4,6.6,6.4,10.0
00034285,7.4,7.2,8.1,9.5,7.6,7.4,7.6,6.0,7.7,8.7,8.3,6.9,8.0,7.4,7.0,8.2,6.8,,8.5,9.3,8.9,5.3,8.4,7.6,8.7,7.9,7.7,8.3,10.0,8.8,8.1,7.5,8.0,5.0,7.7,8.5,7.4,7.7,9.1,7.3,9.0
00034310,7.2,7.2,9.8,7.8,7.0,7.4,7.2,7.5,8.8,7.7,8.1,7.2,8.3,9.4,7.3,7.5,7.2,,8.3,8.4,9.2,4.8,7.4,8.1,9.0,8.3,9.1,7.9,7.9,7.4,8.2,7.7,8.0,8.6,7.7,8.3,7.8,8.2,9.6,7.7,9.4
00034312,6.5,6.6,8.9,7.6,6.4,7.0,6.2,6.9,6.9,7.1,8.8,6.2,7.6,9.5,7.4,8.0,8.2,,7.9,7.2,9.9,7.3,7.6,7.2,8.6,8.5,9.0,7.7,8.1,8.3,8.0,7.4,7.8,8.4,7.8,7.3,8.0,7.9,8.3,7.0,8.5
00034332,7.0,7.2,7.2,7.6,7.1,7.1,7.0,7.1,7.0,7.2,7.0,7.0,7.6,7.5,7.0,8.6,9.0,,8.0,8.3,8.5,7.5,8.1,7.4,7.7,8.1,7.6,7.8,7.9,7.1,7.1,7.5,6.8,7.6,6.7,7.1,7.3,8.0,7.6,8.8,6.9
00034344,7.1,7.3,7.1,7.4,6.8,7.5,7.1,7.2,7.0,6.2,7.4,7.5,7.7,7.5,7.1,7.3,8.4,,7.7,8.0,6.9,7.8,7.3,7.8,7.8,8.4,7.9,7.4,5.5,7.7,7.2,7.7,7.2,7.5,7.6,7.2,7.1,6.8,7.9,6.6,7.9
00034352,7.0,7.4,7.1,7.2,7.1,7.4,7.1,7.2,7.1,7.1,7.3,7.3,7.3,7.4,7.2,7.3,7.6,,7.8,7.4,7.0,8.5,7.2,8.0,7.7,8.5,7.6,7.8,8.2,7.8,7.8,7.9,7.6,7.9,7.9,7.6,7.5,6.8,7.6,7.6,8.4
00034363,7.2,7.6,7.4,7.1,7.4,7.6,7.6,7.5,8.2,7.4,7.7,10.0,7.3,7.0,6.8,8.0,7.2,,7.8,7.4,6.2,8.2,7.9,9.7,8.5,8.3,7.5,7.5,7.5,7.9,7.7,7.2,6.8,6.6,7.5,7.5,7.2,6.8,7.5,7.1,7.7
00034376,7.4,7.8,7.8,7.9,7.3,8.1,7.4,7.5,8.1,7.9,7.6,8.1,7.5,7.3,7.2,8.0,7.4,,7.6,7.9,7.3,8.3,8.4,8.2,8.3,8.5,8.0,7.7,7.9,8.0,7.9,8.0,7.7,7.9,7.7,7.6,7.5,7.1,8.1,7.5,8.2
00034382,7.6,8.5,8.3,8.7,8.4,8.4,7.9,7.3,8.3,7.6,8.3,8.4,7.8,7.8,7.0,8.5,8.4,,6.8,7.9,6.8,8.1,7.9,8.1,8.8,8.1,9.5,8.0,7.5,8.6,7.9,9.2,8.3,7.5,7.9,8.0,7.7,8.5,8.8,8.1,10.5
00034390,7.9,8.7,10.0,13.0,11.0,8.7,8.4,8.6,8.4,9.2,11.0,8.9,8.4,7.6,7.8,9.2,8.3,,8.8,11.1,7.7,8.8,8.5,9.2,9.7,9.8,11.5,11.1,8.4,9.6,8.3,9.4,9.1,9.4,8.5,8.3,8.3,9.9,10.8,9.5,9.2
00034391,7.3,7.6,7.0,7.8,7.4,8.0,7.6,7.6,7.2,7.6,7.9,8.7,8.1,7.6,7.3,8.6,7.7,,7.8,7.9,7.8,7.7,9.5,7.5,7.4,8.7,8.2,7.9,7.7,8.4,7.8,7.7,7.8,8.1,7.3,8.3,7.8,7.6,8.8,8.7,7.8
00034396,8.0,10.0,9.9,10.0,8.9,8.7,10.0,9.9,10.0,7.7,9.9,9.0,9.4,11.9,7.5,10.6,10.3,,9.8,10.1,12.6,10.3,8.9,8.6,12.4,10.9,10.9,13.4,9.7,12.6,10.3,8.7,9.1,12.7,8.5,9.6,8.6,11.7,12.6,8.8,11.5
00034399,7.4,8.6,8.4,9.2,8.9,7.5,7.6,7.1,7.5,7.9,8.4,7.3,5.0,7.4,7.4,8.8,8.0,,8.0,7.7,7.8,7.3,7.9,7.6,7.5,8.3,8.0,7.6,7.5,8.1,8.4,7.6,7.7,8.4,7.5,7.6,7.8,8.3,8.3,8.5,7.6
00034411,8.7,11.0,8.6,9.6,9.1,7.8,8.4,7.2,8.7,11.0,9.1,7.8,7.7,8.4,8.8,10.4,9.9,,8.6,8.3,12.8,9.0,8.5,8.1,10.8,7.2,11.2,12.0,7.8,12.4,8.4,8.1,8.2,11.4,7.8,8.7,8.4,12.8,12.1,9.6,11.4
00034423,7.3,8.6,8.2,10.0,10.0,7.3,7.5,7.7,7.8,7.4,8.8,8.0,7.8,6.6,7.8,9.2,7.8,,7.6,9.2,10.6,8.1,8.0,7.8,7.8,9.4,11.0,8.9,8.3,10.6,7.7,7.7,8.2,10.3,7.4,8.1,7.9,9.7,12.4,9.5,9.0
00035412,7.3,7.8,8.7,7.7,7.6,7.2,7.7,7.7,7.8,10.1,12.3,7.2,8.0,7.6,,8.2,9.4,8.2,8.4,8.1,8.4,8.3,8.5,8.6,8.4,8.3,8.6,9.8,8.1,8.5,8.3,8.5,7.8,8.5,7.7,9.0,8.5,8.9,10.0,8.7,10.0
