,zettaicode,PC1_Loading,PC2_Loading
0,00000272,-0.09536867213934606,-0.07635303742675134
1,00000275,-0.013653211781752134,0.06997398436630442
2,00002725,-0.0019017439388053523,0.07982997533238508
3,00002737,0.07238735239992766,0.012758484368742272
4,00002744,0.06604864872348727,-0.020473214710378298
5,00002750,0.03315657439713591,-0.0345361135436267
6,00002758,0.04680862882138666,-0.02975031352290403
7,00002811,0.11341853062612785,0.15192078758524977
8,00002823,0.029096232031199216,0.4475507612551775
9,00002848,0.06707452853323481,0.027957388543447797
10,00003064,-0.038261802071205685,-0.005483200667673676
11,00003078,0.0009124704342934648,0.0007005765001501143
12,00003079,0.01578461088097951,0.030637256787296993
13,00003086,-0.04911134278863021,0.09141881355467421
14,00003089,0.021656016843475283,-0.029084791640894034
15,00003695,0.01736707223327336,0.01195686739735904
16,00003698,0.033634958712579405,-0.007588625743295337
17,00028119,0.08098317044330465,0.010030176398615635
18,00028129,0.1388689684457449,-0.04800308231784889
19,00028132,0.14090323724152112,-0.16317456982596062
20,00028143,0.20741320199374222,-0.009629023266765811
21,00028150,0.17637583933341106,-0.01707098148170701
22,00028153,0.24903817791931185,-0.01772085459313398
23,00028168,0.18442187481446157,0.0413357090139811
24,00028169,0.24459301533797675,0.015049451821310277
25,00033182,0.01982452876804429,-0.04998869553616961
26,00033204,0.06415142364767845,0.0009566324866682011
27,00033224,0.005599783885693821,-0.011910778430351782
28,00033237,-0.019084343062633163,-0.03476881253720512
29,00033241,0.10944773685763644,-0.07435728221206828
30,00033248,0.01156654525249091,-0.1260292754228852
31,00033276,-0.07669733468577855,-0.2686313543991105
32,00033277,0.01402943743220375,-0.13343563574369233
33,00034285,-0.017190876468633168,-0.18606294990041142
34,00034310,0.032046524821710005,0.07170286353511657
35,00034312,0.028290272069514785,-0.0578066889180345
36,00034332,0.09198205423259076,0.04263878926031147
37,00034344,0.04836103411594145,-0.04187316042384273
38,00034352,0.036737954151956964,-0.05627177657394198
39,00034363,-0.0021960106964835076,-0.0673923376505027
40,00034376,0.03332970706498117,-0.028916482199502894
41,00034382,0.008803513960051988,0.036094521997399605
42,00034390,-0.06227634453749198,-0.029051527468565864
43,00034391,0.035639252474065,-0.02832270757208337
44,00034396,-0.026943030878798926,-0.02127337624258004
45,00034399,0.026139129106963397,-0.027056859241115824
46,00034411,0.009472434031094561,-0.029921164899285205
47,00034423,-0.03866220619114996,0.011691569636132807
48,00035412,0.030425008577453106,-0.07001305839545893
49,00035426,0.05145234282066129,-0.08067237638411295
50,00035433,0.00967088976664271,-0.0008793353587827075
51,00035459,0.06502428580346402,-0.04629950886391385
52,00035473,0.11078656408941022,-0.02533333591699871
53,00035484,0.06295117199685056,-0.01722601607530714
54,00035486,0.0716095529611465,-0.06596096883090052
55,00035487,0.04744823357754288,-0.08395115928079132
56,00035498,0.02361222539055015,-0.03882692110573888
57,00035509,0.055808074761780964,-0.09458935106102548
58,00035512,0.06844952772586999,-0.016045031319100678
59,00035521,-0.00038436679722598046,-0.10312986039677298
60,00035522,0.0275226504188281,-0.10960362865368005
61,00035542,0.0934787804165657,-0.1340196968171417
62,00035550,-0.002041485834564704,-0.2045277753665171
63,00035562,0.06152950513875139,-0.10920507768476567
64,00035565,0.04894958611627093,-0.10279282900173722
65,00035582,0.011945905608682032,-0.09356335150554634
66,00035588,-0.02337405540425065,-0.1044804051326327
67,00035598,0.01034640410062697,-0.12936123826783064
68,00035613,0.07019100741862198,-0.23364505435046493
69,00035626,0.09721499502576081,-0.06869140366689455
70,00035707,0.04306907510535142,-0.12230685745321032
71,00036103,0.019954311654584285,0.023028860442960156
72,00036110,-0.02004471019078095,0.010207999991509339
73,00036147,0.0382193478493876,0.045743117055027
74,00036164,-0.041310373600526216,0.04115774590909039
75,00037170,0.11862506801165051,-0.13970432204849112
76,00037179,0.1388678793444606,-0.16125385059228267
77,00037181,0.006091557150664998,0.05758305189936713
78,00037195,0.03864638058965123,-0.05597037527615257
79,00037213,0.04532853952071325,0.011960816125417374
80,00037238,-0.03829985879476128,0.0044295074481066786
81,00037250,0.02353317031778568,-0.09016546117656836
82,00037254,-0.08478261478914031,-0.013734118948451902
83,00037263,-0.04563165056505594,-0.0960362737435147
84,00037298,0.03125554862679392,-0.12085148309305323
85,00038274,-0.07852346743655053,-0.08659827326341932
86,00038306,0.01794406750401847,-0.02335617021408483
87,00038308,-0.0060868307582709405,-0.017789547294855084
88,00038315,0.08147275540933908,0.14888084208640784
89,00038328,0.0493403494570358,0.027418344311298658
90,00038343,0.030233141428682307,0.025795101438826313
91,00038359,0.05037371610687101,0.05588679350295415
92,00038372,0.06301039487551563,0.04101853592123081
93,00038441,0.03930841455754866,0.03655816190591698
94,00038456,0.05693706175328019,0.020405121925088945
95,00038457,0.032666042187217276,0.004621289968465624
96,00038469,0.04154175711222376,-0.003935065626476393
97,00038495,0.035145188881836785,-0.015524673866843081
