Station_ID,Decorrelation_Scale_km,Amplitude_A,Offset_B,dx_param,R_squared,r_crit,n_neighbors_100km
00000272,0.02037864856582123,1.0809823747615226,-0.08098237476152259,0.025111152565171713,0.6254526701979097,0.47851116040357516,28
00000275,9.08375186801805,0.9856579706318521,0.01434202936814788,10.237602986536693,0.6876410610001049,0.46289232537620106,30
00002725,8.231536522295503,0.9580255233875039,0.04197447661249609,8.809113208557704,0.6441486486545955,0.4420715390402385,33
00002737,4.7665334089092,0.8913388156114301,0.10866118438856986,4.8067158509628545,0.4010169719550237,0.4420715390402385,33
00002744,5.3849142822578955,0.8610447824924804,0.1389552175075196,5.21755668811907,0.40822252243469104,0.43572774476350534,34
00002750,7.048822581578933,0.899889041500788,0.10011095849921203,7.032725441286052,0.510435077402146,0.42964789554745075,35
00002758,1.5102638227665361,0.7611023059654676,0.23889769403453243,1.283854111511868,0.3330876243740848,0.42964789554745075,35
00002811,4.38828663252814,0.8214324338973796,0.17856756610262037,4.260407034269745,0.4289798521372675,0.46289232537620106,30
00002823,7.336932518810752,0.9288332718080111,0.07116672819198888,7.732630026367286,0.5062643895567778,0.448698792647094,32
00002848,8.767204892278762,0.8574032147082852,0.14259678529171482,8.381143405710388,0.31811816258121284,0.42964789554745075,35
00003064,10.097263280605675,1.1194099044788504,-0.11940990447885036,12.15586831343797,0.504398095176513,0.4420715390402385,33
00003078,8.961560463689514,1.1121611108919491,-0.11216111089194913,10.567563460080601,0.6562662340320541,0.42964789554745075,35
00003079,4.361141925689767,0.947964772000202,0.052035227999797984,4.545697233394684,0.5567955002430047,0.42964789554745075,35
00003086,10.079709643347663,1.1213523867856727,-0.12135238678567273,12.149887617435926,0.3508933174382801,0.4420715390402385,33
00003089,0.03977866993725179,0.9511164225018265,0.048883577498173514,0.04122872047755699,0.47572971537578157,0.42381429398696585,36
00003695,0.02424415233543668,0.9242512982514716,0.07574870174852844,0.02598964783984803,0.4094329174875717,0.46289232537620106,30
00003698,9.729802331232985,0.9131137115861011,0.0868862884138989,9.663534866889945,0.41690069620010084,0.4182108494265614,37
00028119,15.980804335560041,0.9449431601468368,0.05505683985316323,16.47430615677951,0.456848043961691,0.42381429398696585,36
00028129,24.211130548175326,0.9971359993902847,0.002864000609715256,25.498673788136422,0.3842272438373734,0.4076370380871346,39
00028132,16.178505705988496,0.8885449585380539,0.11145504146194607,15.558747024951717,0.3376417795853154,0.4128228965331498,38
00028143,25.428256766365603,0.8896491713832715,0.11035082861672851,23.92407612881534,0.5713497083538799,0.3978235535754876,41
00028150,23.127090209093204,0.8604014106066015,0.13959858939339853,21.08073264005841,0.33002363222544406,0.3978235535754876,41
00028153,19.308049651938465,0.8652544301561566,0.13474556984384345,17.200028552715438,0.3006414824858762,0.3801443419563331,45
00028168,27.60588178935918,0.9282098818577262,0.07179011814227376,26.1402705388848,0.44011396218881693,0.37607975011258704,46
00028169,24.452520116236727,0.883613480159514,0.11638651984048598,22.097386818120935,0.3912676442676599,0.37607975011258704,46
00033182,11.345185227189203,0.9907083943183825,0.009291605681617465,11.511243093773995,0.5148932253758141,0.38434318374055354,44
00033204,1.9560087052253445,0.8758862153470326,0.12411378465296741,1.7637171103606168,0.41276517119954104,0.3801443419563331,45
00033224,9.423428650906853,0.9802404318904937,0.019759568109506298,9.5326962444103,0.5279291180186092,0.38868380281513093,43
00033237,10.794933577437462,0.9053256160477446,0.09467438395225536,10.248290843119145,0.5672473909307548,0.3931743282106058,42
00033241,11.190908262862209,0.8355477302509656,0.16445226974903437,9.831804413181406,0.4135330454349566,0.3931743282106058,42
00033248,15.556902649216326,0.8958423520588434,0.10415764794115656,14.626421016275284,0.4071841574191625,0.3931743282106058,42
00033276,15.348632151081995,1.0222747957616847,-0.022274795761684674,16.078318502620014,0.41855138588204843,0.38868380281513093,43
00033277,18.858939777684053,0.9416617271530796,0.05833827284692039,18.546242606277346,0.5629824598376785,0.3931743282106058,42
00034285,14.659670127546232,0.9652031364884207,0.03479686351157929,14.545911392913304,0.3978664811320999,0.38434318374055354,44
00034310,7.378356727455953,0.9314094565486387,0.06859054345136129,7.139312898000892,0.48219619124934576,0.38868380281513093,43
00034312,9.292389762493427,0.91062799552034,0.08937200447965998,8.86899204012635,0.42030252229530884,0.3931743282106058,42
00034332,14.120387591859426,0.9771452654807015,0.022854734519298536,14.245810452060333,0.3601674399683722,0.38868380281513093,43
00034344,15.441290351673173,0.8916174897382296,0.10838251026177037,14.166254929604769,0.36233174860576256,0.3801443419563331,45
00034352,15.876184564638793,0.8911044258406231,0.1088955741593769,14.46566881182368,0.4036097819780088,0.37607975011258704,46
00034363,13.934852247145924,0.9421664222424734,0.05783357775752662,13.15535872677842,0.4462631848364651,0.36462409580411337,49
00034376,14.939890913999752,0.9121632243201256,0.08783677567987436,13.397059230326681,0.5728140651085516,0.3508574758631604,53
00034382,9.250236598268582,0.9285250401354193,0.07147495986458074,8.525042792466712,0.3897901831770485,0.3575426564254667,51
00034390,7.894489710221477,0.9763825905053187,0.023617409494681274,7.658622226569471,0.4790134118359308,0.3610314338507347,50
00034391,13.382477497944867,0.8351651579291823,0.16483484207081767,10.567876365048456,0.4367391075717977,0.3328448891207804,59
00034396,16.849986578568256,0.9529787179461827,0.04702128205381728,16.435448087801248,0.44371013726834685,0.3801443419563331,45
00034399,10.43688172353413,0.9163399726164594,0.08366002738354061,9.26830444549646,0.45452326750808303,0.34149612989087824,56
00034411,11.934467136122437,0.9752675244788127,0.02473247552118729,11.746805451863633,0.5146127584803595,0.37214242670274406,47
00034423,0.4537700722559745,0.9501591750551099,0.04984082494489006,0.42526031382608487,0.36161015043163003,0.35415286456158057,52
00035412,10.245831848024658,0.8764748769917673,0.1235251230082327,8.643240492657233,0.1924809150857706,0.33853801078115625,57
00035426,8.842654286183597,0.8507145753744411,0.14928542462555894,7.17625153799692,0.22255427946049977,0.3356553122382445,58
00035433,8.195818317922082,0.940044038217369,0.05995596178263096,7.431685217970938,0.3765495048736148,0.33853801078115625,57
00035459,21.35636968571447,0.8454632145269332,0.15453678547306682,17.11869953183247,0.22882912096368602,0.3328448891207804,59
00035473,27.571675540764897,0.8754972630403678,0.12450273695963221,22.702948357011817,0.35030068019762695,0.3248184473571815,62
00035484,26.918932708257703,0.9882853314979009,0.011714668502099124,25.10818364989605,0.47800241776029384,0.3248184473571815,62
00035486,28.745046228684593,0.9323019602801929,0.06769803971980715,25.327140141528282,0.3168958213465557,0.3248184473571815,62
00035487,21.856710914368207,0.883471558515257,0.11652844148474295,18.342587410277897,0.22543578604979375,0.33010377652365497,60
00035498,19.53929951069255,0.9929174975315705,0.007082502468429452,18.240464912529376,0.3113303747649735,0.32226909036526896,63
00035509,20.76845565671534,0.9122644802869376,0.08773551971306237,17.964230971363293,0.18070896728332153,0.32742917674035615,61
00035512,14.12714757266613,0.894316291300719,0.10568370869928101,11.96301525708762,0.27946821631872454,0.32742917674035615,61
00035521,13.798241117601817,1.0403123109889074,-0.04031231098890742,13.677232235285945,0.49712734490814203,0.3356553122382445,58
00035522,18.158435011249253,0.9080431489971076,0.09195685100289241,15.630037956365994,0.2804660200025485,0.32742917674035615,61
00035542,15.848710868864925,0.8337440414607076,0.16625595853929243,12.554374706653356,0.17915517317893692,0.3356553122382445,58
00035550,14.880388185288314,0.9611486619970008,0.038851338002999225,14.028702185538776,0.5050173888454117,0.3508574758631604,53
00035562,20.142516784299335,0.8231787203662363,0.1768212796337637,15.969401709329066,0.19964404650841983,0.34453300924355795,55
00035565,0.019126733356670943,0.9243854432480931,0.07561455675190687,0.017377350492340238,0.18050215442508188,0.3508574758631604,53
00035582,15.184608501331999,0.8898102306212248,0.11018976937877523,13.64983111541029,0.38561894221476645,0.3683258864034797,48
00035588,19.8907277376974,1.012939310468359,-0.012939310468359055,20.936500257494078,0.451173293901193,0.3978235535754876,41
00035598,12.207942057717354,0.909740332589572,0.09025966741042801,11.641360787176438,0.27258107886161664,0.3931743282106058,42
00035613,0.06971996084401232,0.8271636323421178,0.17283636765788224,0.06580819197610577,0.18117833442854558,0.4420715390402385,33
00035626,0.28760077608283985,0.8715595632215414,0.12844043677845862,0.3051340284971755,0.4226231137644565,0.48693163503480236,27
00035707,0.06994360977183411,0.8465802282355026,0.1534197717644974,0.07715641166383413,0.3251883512486107,0.5256198837745494,23
00036103,12.70377843556625,0.9217226844812304,0.0782773155187696,12.25832187064128,0.46759940161071334,0.3931743282106058,42
