zettaicode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41
00000275,0.03501927576069946,0.04194091292513814,-0.18388063604288274,0.18676701996615394,-0.24822062907101922,0.2347391485988936,-0.04039431978510579,0.07979254119214065,-0.04539118837390312,0.16058618958254445,-0.15048348341801507,0.2244965242450253,0.02524948913502786,-0.03029139333975634,-0.048157106962614674,-0.00550179274797479,-0.21315851847269826,0.39480551187511953,-0.1991804986402414,0.3545226948065703,0.2315316140794331,0.06974882879282158,-0.14404099533350478,0.018899110880319,0.026426886008951794,-0.05306444996925819,-0.057423172864844156,-0.1455451474207788,-0.1321975063134352,0.026586208275656515,-0.1536367950239772,0.0309036413969198,0.09494889219659547,0.045515688473809296,0.06205340797014931,0.028991793627009148,0.0077302299465404475,-0.0022365574969388726,0.06915248282037936,0.012192636579229608,0.047166390147020676
00002725,0.009358487681802403,0.13056006814989649,-0.020577102118275317,0.38878245583719756,0.15839335541947616,0.22907806205341782,-0.17287907439224692,0.03990340173975522,0.025164198566785263,0.44631388497475977,-0.11255519227130842,-0.1585767744291592,-0.1664600157697613,0.06066739258218842,0.06173620300137353,0.04841772277073243,0.11347991754854637,-0.15099744593070263,0.10630757047313837,0.05889730784193436,-0.07539292187528833,-0.14156046821595086,0.054870754699532266,-0.025934947089848268,-0.10949070731587626,-0.13987429280382924,0.011740180574312387,-0.02871859592370368,-0.12330512188675197,-0.06666345745808534,0.10843396066452184,-0.0056481596188474766,-0.12069763823060121,-0.03919543920571041,-0.04479927126536522,0.14388925094110058,0.0362658488783838,0.16485173584677243,-0.012589744139950086,-0.07148235026482472,0.18674701193206067
00002737,0.07294755793341774,-0.013678478362690153,0.14152717796710418,0.008202122517367363,-0.029475740899757963,-0.12129522910631654,-0.07842411171406906,0.3005644629548625,-0.047131001525419734,-0.18255674884006376,0.21638471650898114,-0.07506160964685955,0.046030443568159114,0.1178307029698067,0.07849566009086685,-0.07199167588944982,-0.2277446527008786,0.026501899173504144,0.021599500886380338,0.15629852525281396,0.1000628331045863,-0.13664108515183604,0.11418961540952734,-0.05769583736610491,0.0027786088985588724,0.1968440926056581,0.07826989310764214,0.006203790054379206,0.031731354583190326,-0.030875077863792354,0.2554663702854143,-0.04364246354940056,-0.012979968065244334,0.25511763165767276,0.13704800633475475,0.011836290153039896,0.1291040035973224,0.07574399506747538,-0.1452818700273239,0.0726611967494328,0.11562990447524157
00002744,0.06951437530549534,-0.04259566161719726,0.008320028630383561,0.07297743756497435,0.036162834816355106,0.06851401421545597,-0.10007467972083389,0.12472808049945287,0.20264120507437286,-0.08503957210194336,0.0015288194513731668,-0.040208126722012835,-0.06895872459300174,0.09726497858791851,-0.12548854590140981,0.10894444703060395,0.17420256897184658,0.10263972694935085,0.04824524425511697,-0.19456083384283818,0.12840554257897913,0.21726340357296134,0.10400529184348442,-0.19542897116242966,-0.09335915926902998,-0.12924605042998372,0.2804764172693995,-0.10843343844408421,0.010137856462358884,-0.07836135433738475,0.10225582295878875,0.1277508225098176,0.14092441393544175,0.1667370903238448,0.08394679227604124,-0.05845680231316995,-0.18579346703252422,-0.051633691116756704,0.017444425409777246,-0.07808095134245577,-0.10162035060069721
00002750,0.03126660675084484,-0.03152437379854308,0.025594486297207255,-0.009303351471875566,0.14219809433382893,-0.011950111485891122,0.06494722625208922,0.04699267215877984,0.03373761745156409,0.06487933272344813,-0.04926657095570615,-0.1242059855760985,0.0215502063055092,0.031102807426914993,0.1192322940055588,0.0014000510856877297,-0.012489465267755274,0.14103561407004955,-0.1385256271773829,-0.07307132521117114,0.16612634406209298,0.03506287025284634,0.04527915953934181,-0.13530269973078915,-0.15727798730510018,0.10651963081636288,0.08621481373463359,-0.05719737688475362,-0.09120351519372125,-0.1528056460617149,-0.011959210784041538,-0.10094294746347943,-0.041831538204375,-0.15639666492220847,0.1464046316335214,-0.1161493711033386,0.08303235330137723,-0.07379605269255754,0.11665547174953209,-0.03077048490237624,-0.24537507375288226
00002758,0.05090958879819286,-0.026873575195342805,0.021379438829309205,0.06265474862483893,0.038637022345948645,0.023031455957772187,0.05175784106817636,0.04059985107789237,0.1139464864730464,-0.017692393453189903,0.006031804755636076,-0.02107887677505196,0.04418335106167601,0.01660664578296068,0.07765146965253152,0.011318064333452043,-0.02410471057712072,0.07419678804174944,-0.10904553660677975,-0.03964182127114463,0.040721120744861596,0.033331059521436175,0.048680721863087785,-0.05180409354109625,-0.040205007761438746,-0.021591719634860597,0.06550145892171204,0.06743134431799061,-0.010803545430846457,0.032614585850133236,-0.008872395818075259,0.028330931113538706,0.041856639944248424,0.041269844268716875,0.03513723353239006,0.1258326907420706,-0.1534337442990201,0.04381754233373022,0.05564823416521349,0.013864205003477178,0.3261786922657801
00002811,0.1283382927996668,0.15448972572893155,0.1930741004034171,0.013547525154883092,0.03114792182325379,-0.10237605571319953,0.13290965393806176,0.054675474068315716,0.14245984076612345,0.10635743339362887,0.2555514426399721,0.09545420951268548,0.08252900170230149,0.10123687826136189,-0.16693833930322383,0.1404161954471683,-0.16697443930877354,0.037666185228051374,-0.0010125276784818283,-0.1865869061680512,0.005043501692780117,-0.11380912016044757,0.09265091459779777,0.3618078414427116,-0.12404028042683772,-0.11021231826632732,0.15062584926558362,-0.1625188000767243,-0.07086436722828575,0.06963846096920263,-0.13508948228436937,0.11051046549246002,0.026756129561326638,0.017982461476079032,0.007714733449996755,0.140761530176904,-0.014268979976740832,0.0182449212799861,-0.005940156013449655,0.09505851822141845,0.02040927783927058
00002823,0.04450758101553937,0.4536870961859086,0.43390511459481607,0.30704315562037104,0.036615760333048274,-0.025713637760208838,-0.11964830104462697,0.06640300570253357,-0.0965765323090344,0.005191328529935215,0.06255408271221267,0.14665737121801808,0.06397140676036159,-0.10127595565692873,-0.10285209295366962,0.15673865484151167,0.06864212853541336,-0.037993023195655735,-0.023499256430938455,0.06600450212991626,0.012508017605744066,0.046154145744489575,0.06194363952835897,-0.1141999701996568,-0.05096159446421584,0.07969633466568812,-0.06411078481989645,0.039923684281310295,0.19054109258159668,-0.07008279884350027,0.062037994722265344,-0.09521814709466404,-0.036940596671502866,-0.10631504055486099,0.001967081521673037,-0.04848966095782938,-0.027837572670402533,-0.09636927821639496,-0.03847946488660359,0.018342398568775314,-0.09342973912371713
00002848,0.06579602508203959,0.0034431620584558227,0.05765833543221181,-0.029424192681788013,0.03578873288264512,-0.03699121900590418,-0.046616656847016796,-0.10026555803004732,-0.013343364185419627,-0.08886639668451207,0.017233897868409096,0.03152322903938168,-0.0751490023085901,0.054524852500072045,0.07157204624976943,0.04235970801699685,0.019855177895311087,0.006010370648490595,-0.09561536062315056,-0.07562815136772988,0.017863241012026094,-0.03678503691685622,-0.016913205742654824,-0.06713432468439752,-0.025266404040095322,0.04486097493616266,0.05437469271040292,-0.029779052206273054,0.06389726019964291,-0.0557364023451169,0.03664104439946657,-0.04027980407978854,0.03226333719222354,-0.11008985732586574,0.21686538124200103,-0.015835212403126707,0.11271748531883882,0.07785151795864213,0.15520738762613515,-0.13284298461734045,0.052293405141152285
00003078,0.004345352698579425,0.03362003025930186,-0.11141716921782725,-0.05205658710971755,-0.03609639928484681,-0.04351447006300014,-0.020209320043572284,-0.09152922836826116,-0.055041605784421126,0.062323798480059645,0.12219786248347916,-0.16946017988555126,0.13762058011072922,0.061845030710712345,0.16917550660928263,-0.046363372317416295,-0.04186768594602919,0.10565973442650779,0.027235594240280592,0.023455831228621587,-0.12109817077366719,0.14506698372144844,0.18878975848006654,-0.04741649836572736,-0.09301401229384679,-0.2551304392800075,-0.019529604156429514,0.27747856926720726,0.007098554132189327,0.07539616677173999,-0.0033925098272151112,0.04315866852267658,0.04926483316138176,0.10882719554529151,-0.001415045778331774,0.19710737329298642,0.036927216149887525,0.15304909597209074,-0.14134038981651967,0.01674785087374601,-0.030571605217454445
00003086,-0.05245971115259342,0.13075329393629523,-0.04623395310659353,0.024085813027222947,0.11252637914819616,-0.025821304960157634,-0.02018827532535027,-0.08972112458556704,-0.019909203636096436,0.06446473548671935,0.004488302739224189,-0.012571129453445505,-0.06690307563452468,0.0736649580441866,0.010175787535958443,-0.04949825891762764,0.04701458181402578,0.0079210262294135,-0.17659222005661734,0.0015697671984371022,0.08197336558134935,-0.022225976048445943,0.021531169565352823,-0.0929409531166256,-0.09160271936791613,0.03647223428267343,-0.1358292934339236,0.028364380202979007,-0.028179990592697116,0.07607048670161229,-0.02995983275912872,0.28251430762691715,-0.030714058742786102,0.19511246162350915,0.004007682762175011,0.08989169847638744,-0.08646523938096227,-0.24515109642511493,-0.013511559830721687,0.2312252852690252,-0.054039918320686664
00003695,0.015260235955782015,-0.0028526641373453313,0.03625074570172052,0.08413499310943659,-0.007279305579623672,-0.0006263567042804326,0.004368640443902853,0.10063394501354032,0.03080579608873025,-0.07776022962341787,-0.09523047385022503,-0.0033376209988479413,-0.10267072681361084,-0.17796426705666582,0.02037210287095829,0.019155308718672652,-0.09927208688344262,-0.013125737570183597,0.05533235995901241,-0.015318166375544444,-0.03529674043799545,-0.09506326097986,0.07119304056927626,-0.18654016461387307,0.12504863500628097,0.18258080780358474,-0.0400649253874057,-0.011947463262900073,-0.022980274891392406,0.08676422270171358,-0.0006777148437550727,-0.03457229367483158,0.009394093137622822,0.04728298341211752,-0.2134298847985182,-0.04004401638249372,0.07043836400400665,0.13531340641540443,0.007946187599755468,0.05881261775056967,-0.17947193551579224
00003698,0.03489083546274055,-0.0028592054661053415,0.017959853764103608,0.09199252128999354,-0.006478546192109584,-0.078916568292006,0.15434770362981176,0.1535437405891123,0.011434402480355103,-0.0258980149018992,-0.034794558348098595,0.00038092031791594913,-0.1129081978809418,-0.06918893097656686,0.022972361772119455,-0.011498487437929313,-0.04004077222311574,-0.00486883692490619,0.008101278028367813,-0.25391514009813304,-0.027056329949777202,-0.1593756883833301,-0.10870550561379248,0.050274763310256064,0.12371722125897582,-0.04393523511681499,0.017724056253127285,0.05478884505042059,-0.02883101767010205,0.1093691381522552,-0.2208615875185351,0.017958036786671926,-0.1843019124583961,0.10084357580837253,-0.04679401135271896,0.023542023387121153,-0.03227496952752892,-0.062445928040668855,0.17140474088960392,-0.21980712154945678,0.11593696884410067
00028119,0.08025276367027645,0.016603286997979735,-0.05321066562369029,0.01254897928316134,0.03777162841903098,-0.019629315901499095,0.05784866527913592,-0.08215102831395088,0.015826575816022,0.010373647955550227,-0.038673680345227716,0.1314054133031995,-0.0844024183268246,-0.08627739033055237,-0.035407877162944926,-0.05550974788703918,-0.07252597832866126,0.0006323322402580644,0.010602655587889788,-0.03025503872405362,-0.004933237191995329,0.022823475517474354,0.06929400111463807,0.07329132603460684,0.12072247026816407,-0.11713455971476967,-0.07840005914432144,-0.21721637595834714,0.14097830782055049,0.2053930107573031,0.01826395033356854,-0.15387023329495123,-0.16320238697289616,0.050819181339803975,0.16173945554621857,0.1548323166573453,-0.009247937970453986,0.02368059324357395,-0.17652780554568406,-0.06954290941382779,-0.04456377746125234
00028129,0.13626129838409645,-0.05234042274057092,-0.06579962395286851,0.006899721966289657,0.03935833191174523,-0.01702501910001551,-0.038952952931897995,0.04676847173813411,0.06851751069025358,-0.05645666685255562,0.0002803243873649883,0.06150334836225153,-0.0072290604151081595,-0.07118905889939033,-0.1958135198717289,-0.04150420451014586,-0.008101018569187223,0.03477154276990037,-0.03622253639202363,0.0823847133039878,-0.05963622720191216,-0.01121939209980838,0.05145597258750179,0.053738990419775076,-0.06386470356038643,-0.025237211663384974,0.0011315316559960108,0.014735567424835082,0.015444579650785335,-0.08818125178188022,0.03726518883991512,0.12513905068110368,-0.18132329459010366,0.030664088754347944,0.04271816955637878,0.032565296918486523,0.03810742697422815,0.11376783739425501,-0.0926959075654016,0.18101349123156785,-0.1103262090585451
00028132,0.14232640012885053,-0.2154123689056148,0.10941308571019417,-0.0850725864994464,0.11223878133950205,0.17125623958594788,0.2419438460743402,0.057881869736528646,0.0365773561072072,0.09706721446712299,-0.08968186433237632,0.13954796789742116,0.15964111751629373,0.34874389238391745,0.11900772964386361,0.15729925618154128,-0.12015053743369812,-0.004921726452552586,-0.23737833738741856,0.012179515962061105,-0.16739001439453327,-0.03158376929644938,0.093894971750543,-0.07074839957275428,0.3049448323478241,-0.09392632971833878,-0.14225298831913077,-0.15531880220660957,0.01262837477215916,-0.1428816425182419,0.11929202000864657,-0.09532356089243152,0.05373084168432178,-0.05778348288434624,-0.06701317237575313,-0.022563973501608707,-0.09060696789593282,0.010974768360155832,-0.08167506690300884,-0.00555696167342763,-0.07361786732872723
00028143,0.20707766104627162,-0.07639864423068808,0.12280293677863499,-0.02377355660178131,0.09886483397260774,0.06454189379199991,-0.12764732127450826,-0.1356933689915368,0.12167977802072999,-0.02631325959212533,-0.08267453963490616,-0.07686877077984747,-0.09392808309779198,0.00825599747523018,0.08804214651909555,-0.02223490379141354,0.026302004207842383,0.07348886035362552,0.1839415492551674,0.012500906551251838,0.06441742123377732,-0.09411026413938905,-0.2033772497641354,0.005652929673384613,0.03493677833237805,-0.16453003700960744,-0.036597559922388105,0.001962390669187936,0.10155720460444619,0.08291359528480709,0.022843332853417483,0.06029343705496752,0.14105649019933053,0.0560918076812155,0.10187294955219196,-0.1981573121771359,-0.12946910912704473,-0.16747289125886775,-0.15163451927170526,0.14502356323859622,0.22213519594292885
00028150,0.18129823635811332,-0.08585290960697314,0.19330340112190236,0.05733472248979247,-0.03227430115692164,0.03897074996876686,0.00984741386387686,0.03625591610817017,0.14327010335041035,-0.11039595083743826,-0.007475381004678849,-0.09938143632499206,-0.08767831650616767,0.012421848660223224,0.009117386080256402,0.006077047853277221,-0.027721335655357796,0.022677236282365287,0.2570288131701021,0.2911316175567391,0.1036410394381579,-0.004085860743066616,-0.04094731976537436,0.04530035629095959,0.10736306455289338,-0.018395407664616774,0.06272142541879559,0.0798090374472624,-0.21990214893240406,-0.19156643920148234,-0.07274247623870678,-0.263943789950109,-0.060823027731880745,-0.07658128652773936,-0.09231911132074562,-0.05596457828660075,-0.05257028912969902,-0.13261425313149627,-0.05035342651711639,0.009407277809909163,-0.034221596722777484
