,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41
1982,-0.5054006551260987,0.3189325152559625,3.2562067143003213,-0.5044037729805873,-2.478891300696613,1.7814192135949762,-0.9870768110624257,0.7660739319609899,1.9457694040168327,-0.4880807834311801,1.0497507367936263,0.545004088965354,-0.9466465220828183,0.3744316237811854,1.2421669992119493,-1.0575073761666414,0.9905966416681518,-0.6951412148364076,-0.10165725358532723,-1.120382114114209,0.7321824479338997,-0.43930488998774764,0.3829741497973622,0.49303047464027716,1.1639499009931755,0.6561871682107592,1.2524846485081214,0.41029403502701645,1.0575228186226555,-0.9004580468650486,-0.4327185969813543,0.016609662990873533,-0.4415361922471294,0.3764799942715259,0.06173689099418653,0.4171278909192895,0.8432815670919787,0.8521654436761912,0.5567922857261337,0.23689484079664158,1.568858551876305e-15
1984,-3.099028363733433,0.5208038455868919,1.6574291078579866,0.7434709773048984,-1.7651721251410504,-0.0647704983981911,0.9172929549693253,-3.097075223541712,-2.2352276748782938,-1.9464747071340534,-1.170552483907489,-1.5341608836761418,0.3465490276829966,-1.7072431554703886,1.4405262385216024,-1.0592735649583553,-2.1624944572924436,-0.721086224546977,0.9986739383694416,0.15712198045445613,0.043879086920868164,-0.16377847169005597,1.330413973763718,0.4792670886237318,0.4426648046260318,-0.592300429926516,-1.3345122278535029,-0.08506743507815072,0.29066095934658975,0.9437539868897533,-0.40358419498437476,-0.11920111769015555,0.3583503647329197,0.07184928906614088,-0.5906023133850944,0.9938062435018408,0.2669216949707096,-0.07669427310676268,0.2462047076763246,0.16731240668935254,1.568858551876307e-15
1985,-8.489188500520212,0.4341566242078526,2.7012068507548483,-2.063073209430081,-0.3197146982756117,-3.8985942356110717,2.9628938802515856,0.6905649374120395,-0.600633475883667,0.7603610742682804,-1.8005863552795425,1.6485166557506694,-1.1178809656835837,-0.1712910865691408,0.18651459076966337,0.7180852462546986,-0.4608592640653864,-0.07678143736152718,1.5416064628654056,0.5906267185588218,0.28553533868669934,1.376643240194149,-1.058290954627996,0.1350704334231614,0.22630448240999285,0.43737497518259416,0.4693174838426279,0.8075088423223749,-0.38112490695034584,-0.5348560171820743,0.5933767701401714,0.11771362493521517,0.29171992173935835,-0.7286738037398922,-0.0821857580366439,0.14405624799920344,-0.5762109287539391,0.4818379220516237,0.4058336102860931,-0.21394278448224768,1.5688585518763065e-15
1986,-3.533129815919304,3.9095269790456015,4.182862005893791,4.375680056812855,-0.38992745433827675,1.683373844009255,-3.33524973802681,1.7463752385440425,-2.547810627280475,1.5038985556969213,0.7321558057687788,0.4063191140885959,1.1703552980833785,-1.298614058330978,-1.2718855365610962,0.888132864450436,0.47232077049989984,-0.06761085429203677,1.224622758806457,0.5700156103759663,0.2289191803337238,-0.8979195988056042,-0.8708171487329315,-1.3875980077989694,-0.43946285540607993,-0.28426720868973865,-0.6961795466413772,-0.10598846186007546,-0.019429711117287286,-0.09286430222410563,0.49058604427496183,-0.3065145523230827,0.021967617790141055,-0.15894802609448672,-0.03150102993074893,-0.08279579417697537,0.6076117147602492,0.3924196152854043,-0.3279691418699155,-0.25499939030490915,1.5688585518763083e-15
1987,-1.3402543055392095,-0.049865220100408995,0.12385823498052241,-0.04640793792498644,-2.270360314442379,0.4837882523763206,-1.081523438553317,1.1247170726778952,0.8729250794276856,2.2197949206303242,0.5774259780543146,-1.3786437838363064,0.7616746143536608,0.30848612016902316,-2.3522129778986614,-0.23147085635116127,-1.977291515618002,0.967125518017556,0.35128970474048726,-0.0971274100265564,-1.8166427720003835,-0.9926677038678204,0.27134897262638996,0.23665734975059188,0.002369535012972341,0.6258794090149641,-0.43448853858504033,-0.4893060290641914,0.09362148145004033,-0.6467941191327161,-0.7343758013682529,0.333246120842661,0.6803147530155007,-0.4057946892810527,1.0951963929564266,0.20146277798896686,-0.6215835654402774,-0.14447004317590284,0.6520916903316143,0.493019321442734,1.5688585518763063e-15
1988,-1.1606164474237572,2.6187578760613897,-4.1708145419830505,-4.000999507149042,-1.5200458316276815,-1.1766814479368741,-1.0690297843783756,-1.7652376541188717,-1.1132702287353837,1.4972471107381677,2.4312753836356973,-1.2576131442651501,0.5356005012946377,0.017864262365263263,0.43977235276165344,0.7374854097834957,0.5577018308239949,0.8817677288739766,0.5937817133945104,-0.3453695552952145,-1.621853218496774,1.2968213214169404,0.35415891902103497,-0.19886120938487462,0.11217830763399846,-1.727465487402109,0.5264730046313265,1.0493650095409999,0.3597597641119521,-0.0567742154425662,0.17808824550762375,-0.10943141482612355,-0.33484243920693607,-0.038140579089995234,0.5746089027558916,0.44623232954000297,0.3404552098906751,0.3544975846453724,-0.5648093574255488,-0.033316710271809304,1.5688585518763089e-15
1989,-1.9439522929353,-0.7460055403311673,2.3211831475331994,-0.5540856242874441,-1.2629163020340173,-0.8594675214545087,0.5123511253902622,1.2944775845820062,1.6087670892563426,1.7353981412498045,1.0686131262844312,-1.0035589105754168,-0.738017529629956,0.23571143501521194,-1.3239367569065292,0.7245162753321959,-0.2550547872583817,0.09690033152162279,-0.6333269994687445,0.05256428284901341,-0.7480722965792949,-0.1260076260684041,-0.2353951411669085,0.5628617385845412,1.4004437810782557,-0.15487482974970523,-1.0815573556172509,1.1747693117282123,-0.3925766589660423,0.018438613582478437,-0.5436967723353721,-0.1138255606820487,-0.15184198141625474,1.186594232935723,-1.4437349033685523,-0.6240712717738275,-0.3046855102829977,-0.1125771375888399,-0.5631983676695621,0.24911318528324786,1.5688585518763089e-15
1990,-2.283375528358537,2.9910035491598883,-1.7595802382205565,-1.4890263240660881,1.7444674328640823,-0.6624403400565186,-2.7518304704098777,-1.581356127410653,1.7450153466954588,-0.9821790159986954,0.6720571909727728,-2.3726949602109513,-0.016863661456083184,-1.415505828421022,-1.0847745230544754,-0.3208086616615602,2.2919253701019016,-0.9873053065961269,-0.1515747361145858,0.7465491150446588,0.0358964214218112,0.08599494208124459,0.036640774404211665,0.3242111745760453,1.7902036695565327,0.49793552870111,0.3634017504445516,-0.7516183902091489,-0.47247278047452884,0.34128034611088687,0.19558057075537771,0.4408728005466338,1.125227532916734,-0.5262427035318554,-0.33512619784733194,-0.39619264326883624,0.0935530502652884,-0.1573496070015027,0.3799138826020428,-0.5305984024206247,1.5688585518763071e-15
1991,-8.400992335962158,8.334796350884952,0.5979134392786418,0.5285471209666488,3.026813888915921,-0.9749068311109842,-0.4700558773009296,-2.0432847690350657,-0.12540794195609534,0.21884740167136588,0.682482147903278,0.9292938851046717,-1.4217243944735511,2.9195531238878734,1.1886113460158487,-0.15362358895640277,-0.02609458796723447,0.17097227012556238,-1.652138643348744,-0.9258727629003046,0.627083295505791,-0.457513267871416,0.1410673890756678,-0.0654290932717155,-0.8003541460304312,0.16471242545088563,-0.42811118727849706,-0.36893874096320184,0.10227832075095097,-0.011419440086458106,-0.45062335813004356,0.42779798506608313,-0.19527923574324232,0.3959385043481834,0.24946021138401434,-0.033932371512628616,-0.2452859808027356,-0.4083511136876226,-0.041040359825788256,0.16998543877909247,1.5688585518763093e-15
1992,-2.099252135358457,-0.5612074396479894,-1.3631048724640418,-3.842711694054286,0.3534397736300183,-1.1074863159497608,-0.8625726670761618,0.7710791872829873,-1.878952741872257,-1.2064177557319418,1.5614068673028079,-0.5744917984958833,1.82341869038138,-1.8922303103192581,2.168612901985366,-0.835017356832887,-1.1368755547476803,1.291838221129875,0.28791705053757066,-0.32024419948500826,0.30087907680522896,-1.5414719009546858,0.20318742511092874,0.8612928075791548,-0.6056267244646819,1.6752299830391097,0.0991484615641399,-0.35218055155367617,-0.5495791709814383,-1.062235731171471,0.27034661925859665,-0.753682539492277,-0.5062411911132982,0.23745522075109485,-0.18080832733318264,-0.6147676892732888,-0.09896265972633393,-0.1183955345711818,-0.22222368616785598,-0.29609553357403406,1.5688585518763093e-15
