zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00028119,6.8,7.0,4.7,6.8,6.0,8.3,6.7,6.0,6.2,6.9,6.1,6.6,6.1,8.2,5.7,7.1,6.6,6.5,5.4,5.7,6.9,7.4,6.6,6.4,6.2,6.6,6.8,6.5,6.6,6.1,7.2,,7.0,6.9,7.1,6.6,7.0,6.8,6.5,7.5,7.1,6.7,6.9
00028129,6.6,7.0,4.6,8.4,6.2,7.2,6.7,6.2,6.1,7.1,5.9,6.5,6.4,8.2,5.7,6.5,6.8,6.5,5.6,5.6,6.9,9.3,6.7,6.3,6.2,6.7,6.4,6.5,6.4,6.1,7.0,,6.9,6.7,7.1,6.5,7.0,6.9,6.7,7.7,6.8,6.9,6.9
00028132,6.4,6.9,3.9,8.1,5.7,8.3,6.2,5.7,6.2,6.5,6.2,5.6,5.9,7.8,5.4,6.6,7.1,6.1,5.3,5.8,5.7,7.0,6.6,5.1,6.0,6.5,6.1,6.5,6.3,5.8,6.8,,6.6,7.4,7.0,7.1,6.4,6.9,6.5,7.1,6.2,7.2,6.8
00028143,6.6,7.3,4.5,8.2,6.3,7.0,7.1,6.2,6.2,5.7,6.3,6.3,5.5,8.1,5.6,6.2,6.8,6.7,5.6,5.5,6.8,7.2,6.6,6.0,6.2,6.8,6.2,6.6,6.0,6.0,6.6,,6.8,7.0,7.5,6.6,7.2,7.0,6.1,6.8,5.5,7.0,5.3
00028150,6.3,7.0,4.7,7.8,6.1,7.9,7.0,6.4,6.3,6.3,6.2,6.2,5.7,7.9,5.9,6.3,6.7,6.2,5.7,5.6,6.5,7.2,6.8,5.8,6.3,7.5,6.1,6.6,6.3,6.3,7.0,,7.0,7.3,6.8,6.8,6.9,6.8,6.7,7.4,6.8,7.0,6.7
00028153,6.7,7.3,4.4,7.8,6.2,7.3,6.7,6.3,6.2,7.2,6.3,6.4,5.0,8.2,5.7,6.3,6.8,6.6,5.7,6.3,6.8,6.6,6.4,6.2,6.5,7.3,6.1,6.6,6.4,6.2,6.6,,4.8,6.9,7.5,6.8,7.3,6.4,7.0,7.6,6.0,6.8,6.3
00028168,6.3,7.0,4.6,7.5,5.9,7.1,7.0,6.3,6.3,6.6,6.5,6.4,5.7,7.9,5.9,6.4,6.7,6.4,5.3,6.5,6.6,6.3,6.6,5.7,6.2,6.8,6.2,6.6,6.3,6.2,6.8,,7.4,7.1,7.2,6.9,7.3,6.5,6.6,7.6,6.7,6.6,6.5
00028169,6.3,7.1,4.3,7.2,5.8,7.5,6.4,6.1,6.3,6.1,6.4,5.8,6.2,8.1,5.5,6.4,6.5,6.5,5.6,6.7,6.5,7.7,6.4,6.3,6.3,6.6,6.2,6.8,6.3,6.2,6.0,,6.0,6.8,7.1,6.7,7.4,6.8,7.0,7.1,5.4,6.5,6.9
00033182,6.4,7.7,6.9,7.9,6.4,7.8,6.8,5.7,7.2,5.4,6.8,6.7,7.1,6.4,6.9,7.3,7.4,6.4,5.8,7.5,6.9,6.2,7.1,7.8,4.1,6.5,6.2,7.2,6.7,7.0,8.4,,7.2,6.8,7.0,7.2,6.6,6.4,7.0,6.8,7.2,6.2,7.0
00033204,6.7,7.6,7.0,6.4,6.4,7.3,7.2,7.2,6.4,5.7,6.5,6.4,5.8,6.0,6.4,6.7,7.0,6.4,6.5,6.9,6.8,6.0,6.7,8.4,6.4,5.6,6.5,6.2,6.9,7.6,6.4,,7.6,6.2,7.2,6.4,6.4,6.8,6.2,5.8,6.8,6.0,6.2
00033224,6.9,6.6,7.2,6.5,6.7,7.1,6.5,6.6,6.0,6.2,6.6,6.4,6.5,6.3,5.7,6.3,6.8,6.5,5.9,6.5,6.7,5.9,6.8,5.2,5.8,6.6,6.3,6.6,6.9,7.6,6.6,,7.4,6.6,7.2,7.0,6.4,6.6,6.2,6.8,7.2,6.4,6.0
00033237,7.3,6.9,7.3,6.3,6.3,7.5,6.7,6.9,6.0,6.8,6.6,6.7,6.8,6.3,5.3,6.7,7.1,5.8,6.2,6.6,7.0,6.0,7.0,6.0,5.7,6.5,6.6,4.7,7.2,7.6,6.2,,7.2,6.8,7.4,7.2,6.6,7.0,6.8,6.8,7.0,7.4,5.8
00033241,6.0,7.5,7.2,6.4,5.8,6.9,6.7,6.6,5.8,6.2,6.6,6.3,6.7,5.2,5.3,7.2,6.6,5.1,5.9,7.0,6.1,6.1,7.0,6.9,5.7,6.8,6.1,6.4,6.9,7.6,7.0,,7.0,6.6,7.0,6.6,6.4,6.2,4.8,6.4,6.8,6.6,5.8
00033248,7.5,7.0,7.3,6.5,6.8,6.9,7.4,6.7,6.5,6.7,6.6,6.4,7.0,6.4,6.9,4.8,7.3,6.4,6.5,6.5,7.0,6.4,6.7,6.4,6.4,6.8,6.7,6.3,7.1,7.0,6.6,,7.0,6.8,7.6,7.2,6.8,6.6,6.4,6.8,6.6,6.6,6.2
00033276,7.4,6.8,7.3,5.8,6.9,7.2,7.0,6.7,6.8,7.1,6.2,7.0,6.7,6.6,6.9,6.1,7.2,6.8,5.0,6.6,6.7,6.9,6.6,6.1,5.9,6.9,7.0,6.7,7.9,6.8,6.6,,8.0,7.2,6.6,7.0,7.2,6.6,6.4,6.6,6.0,6.2,6.2
00033277,7.5,7.2,7.7,6.2,7.2,7.3,7.0,6.7,6.3,7.0,5.5,6.1,6.9,6.4,6.6,5.8,7.4,6.3,4.7,6.0,6.5,6.6,6.6,6.3,6.2,6.9,7.0,6.4,7.7,7.4,6.4,,6.4,6.6,7.6,7.6,5.8,6.2,7.0,7.0,6.8,7.2,7.0
00034285,6.9,7.4,7.3,6.7,7.1,6.7,6.8,6.5,6.4,7.2,7.1,6.8,6.9,6.7,6.5,7.4,6.6,6.5,7.2,7.4,9.3,7.4,6.0,6.6,6.6,6.7,8.1,7.7,7.7,7.5,7.3,,7.5,7.2,7.5,7.7,7.1,6.5,7.2,7.5,7.0,6.9,6.9
