zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00033224,7.0,7.7,7.2,6.5,6.3,7.1,6.5,6.0,6.3,6.3,6.8,6.3,6.4,6.3,5.9,6.3,7.1,4.5,6.1,6.7,6.7,6.0,6.8,4.0,5.9,6.4,6.4,6.0,7.3,7.6,6.2,,7.0,6.8,7.4,6.8,6.8,6.6,6.4,6.6,6.8,6.6,6.2
00033237,7.4,7.3,7.4,6.1,6.5,7.7,6.7,6.7,6.5,6.9,6.6,6.4,6.7,6.5,6.2,6.7,7.4,5.3,6.0,6.7,7.2,6.2,7.0,6.6,6.0,6.8,6.5,5.6,7.9,7.6,6.2,,7.0,7.2,7.4,7.2,6.4,7.0,6.8,6.8,6.8,7.0,6.4
00033241,6.1,6.3,6.8,6.3,6.7,6.6,6.6,7.0,8.0,6.3,6.9,6.7,6.7,5.3,5.3,6.6,6.7,8.0,5.7,7.7,6.5,6.2,6.9,7.3,6.1,6.9,6.1,6.1,7.3,7.4,6.4,,7.4,6.4,7.4,7.8,7.0,6.8,4.8,6.6,7.2,7.2,6.0
00033248,7.3,7.2,7.9,6.3,7.3,7.3,7.3,7.0,6.7,6.8,6.4,6.6,7.0,6.3,7.0,4.5,7.5,4.2,5.2,5.8,6.0,6.6,6.8,6.7,6.5,6.7,6.9,6.6,7.9,7.4,7.2,,7.2,7.0,7.6,7.8,7.0,7.0,6.8,7.2,6.6,6.6,6.0
00033276,7.4,7.4,7.3,6.6,8.7,7.5,7.5,6.6,6.6,7.0,3.1,6.9,6.7,6.3,7.0,5.3,7.6,6.7,4.6,6.8,6.9,6.9,6.6,7.2,5.9,6.7,7.0,6.7,8.6,6.8,7.0,,7.2,7.2,6.8,7.4,7.0,6.6,6.4,6.6,6.4,6.2,6.2
00033277,7.7,8.3,8.4,6.3,8.4,9.0,6.7,7.0,6.6,7.0,3.7,6.5,8.7,6.7,6.7,5.5,7.6,6.2,5.0,6.4,6.9,6.6,6.6,7.4,6.6,6.9,7.0,6.6,8.0,7.8,6.4,,7.4,6.8,8.2,7.6,7.4,6.2,6.4,7.0,6.2,7.0,6.4
00034285,6.6,7.8,7.2,7.4,7.0,6.8,7.0,6.5,6.3,8.4,6.7,6.7,6.7,6.8,6.8,7.0,6.0,6.8,10.2,7.4,8.5,8.2,7.7,7.6,6.5,6.9,7.9,7.9,7.3,7.1,6.7,,7.8,6.9,7.7,7.7,7.4,7.0,6.9,7.3,6.9,8.4,7.3
00034310,6.7,7.3,7.1,7.0,6.7,6.7,7.3,6.9,6.6,7.6,6.9,7.7,7.8,7.8,6.6,7.8,6.6,7.0,6.4,7.8,7.8,7.4,8.2,8.3,7.3,7.2,8.4,7.3,7.4,6.7,7.3,,7.6,8.4,7.4,7.3,8.3,7.0,7.0,8.1,7.7,8.4,7.2
00034312,6.7,7.2,6.8,6.6,6.8,6.9,6.3,7.1,6.3,7.5,6.4,6.7,6.7,6.6,6.3,7.0,6.0,6.9,8.4,7.6,7.8,8.0,8.2,6.8,7.0,7.7,8.4,7.3,7.9,7.5,7.1,,7.5,7.2,6.5,7.3,7.6,7.0,6.8,7.3,6.2,8.9,7.4
00034332,6.7,7.1,6.6,6.5,6.6,6.6,7.3,6.8,6.6,7.3,7.1,6.8,6.3,7.1,6.6,7.4,7.3,7.4,7.2,7.8,8.2,7.0,6.6,7.2,7.1,7.5,7.9,7.3,7.3,7.5,6.2,,6.9,6.7,6.8,8.2,8.1,7.1,7.0,7.7,7.3,8.0,7.5
00034344,6.7,7.1,6.7,6.5,6.5,6.7,6.8,6.7,6.2,7.6,6.6,6.9,6.7,7.1,6.6,7.0,7.2,6.8,6.7,7.3,8.2,7.4,4.2,7.0,7.1,7.4,8.0,7.3,7.1,6.8,6.4,,7.0,7.4,6.7,7.1,7.4,6.8,6.9,7.5,6.8,7.5,7.7
00034352,6.6,7.4,6.7,6.5,6.6,6.7,7.0,6.7,6.5,6.9,6.5,6.9,9.4,6.5,6.5,7.0,7.2,7.2,7.0,7.6,7.4,7.1,4.1,7.1,7.3,7.6,7.9,7.4,7.1,7.2,6.1,,7.2,7.8,7.3,7.1,8.0,7.2,7.5,7.5,6.9,8.3,7.5
00034363,,7.5,6.5,6.9,6.3,7.9,6.9,6.5,6.7,6.9,6.8,6.9,6.7,7.4,6.3,6.7,6.8,7.2,5.8,5.9,7.6,7.0,8.0,6.0,5.8,8.1,6.8,8.6,7.4,6.4,7.0,,6.7,6.3,7.0,6.9,7.4,7.0,7.1,6.9,6.8,7.4,7.2
00034376,,7.3,6.8,6.7,6.6,6.9,7.2,6.6,6.9,7.0,6.7,6.8,6.9,7.1,6.4,7.3,7.0,7.2,5.8,7.2,7.5,6.8,7.7,7.3,7.4,8.0,6.9,7.3,7.6,6.6,7.3,,6.9,8.0,7.2,7.1,7.8,7.2,7.3,7.0,7.0,7.3,7.7
00034382,,8.2,8.1,6.9,8.1,6.8,7.5,7.2,7.8,7.9,7.6,8.3,9.5,7.2,2.5,6.5,7.8,7.4,5.0,7.3,7.8,6.7,7.2,8.0,7.8,8.8,7.1,7.0,7.7,6.4,7.6,,6.7,7.5,8.0,7.5,7.6,7.6,7.1,7.3,6.3,7.6,7.0
00034390,6.5,7.0,6.9,7.4,8.5,7.1,7.3,7.6,7.7,8.6,7.2,7.4,7.9,6.8,6.2,7.3,6.8,7.0,6.0,6.6,7.8,6.4,6.9,7.6,7.0,8.4,6.5,6.7,6.4,6.7,5.0,,7.7,6.8,6.9,6.5,9.9,7.3,6.2,6.8,7.0,7.3,6.3
00034391,6.8,7.2,6.7,6.7,6.5,7.3,7.0,6.9,6.9,6.6,6.8,6.6,8.0,7.0,6.6,3.8,7.0,7.4,7.0,6.4,7.0,6.8,6.8,6.5,6.7,7.1,6.6,6.6,7.7,6.7,5.9,,6.8,8.1,6.9,6.8,7.1,6.7,7.0,7.0,7.0,7.7,7.1
00034396,6.3,7.1,8.3,7.6,9.7,8.3,7.2,8.0,6.4,7.6,7.8,8.7,11.0,4.0,3.9,6.8,7.4,6.9,6.5,7.1,8.1,8.0,6.4,7.3,6.2,8.3,7.0,7.8,7.1,8.5,6.8,8.9,8.5,7.4,6.5,6.0,10.2,6.9,8.9,6.6,7.5,10.3,4.9
00034399,6.7,7.3,6.8,7.0,7.3,6.8,7.4,7.2,6.4,7.6,6.7,4.7,8.9,7.2,4.3,7.0,7.4,7.4,7.1,6.6,7.1,7.0,6.9,6.6,6.7,7.6,6.7,6.9,7.5,6.6,6.1,8.7,6.9,7.9,7.2,7.2,7.3,6.9,7.1,7.2,6.8,8.1,7.2
00034411,6.8,7.0,8.1,7.4,7.2,7.7,7.0,6.6,6.4,8.0,7.6,8.8,10.0,7.4,4.5,7.3,7.6,8.0,7.2,7.0,8.2,8.1,6.8,9.5,7.0,9.2,7.5,8.1,8.1,8.3,8.5,8.1,9.2,8.6,8.4,6.7,10.6,7.8,7.4,7.4,9.1,7.1,6.7
00034423,6.5,7.4,7.3,7.1,8.8,7.1,7.1,6.7,6.7,6.9,6.8,7.1,8.5,8.1,6.8,7.0,8.0,7.4,7.0,7.2,7.7,6.8,6.9,7.6,6.7,7.4,6.7,7.3,7.5,6.9,6.5,7.2,7.5,7.9,6.2,6.9,9.5,6.7,7.7,7.2,6.9,8.2,5.7
00035412,7.6,7.9,7.1,8.0,7.2,7.3,7.0,7.2,6.7,6.8,7.2,7.2,7.5,7.0,7.7,6.0,8.2,5.2,5.7,7.2,7.5,7.2,6.8,8.1,8.0,7.7,7.2,6.9,8.0,7.3,7.4,,7.2,7.5,8.0,8.0,7.7,8.1,7.8,7.4,7.9,,8.3
00035426,7.4,7.3,6.9,6.9,7.3,7.1,7.0,7.5,6.7,7.2,7.4,7.6,7.3,7.0,7.4,7.4,7.8,6.9,7.3,7.4,7.8,7.3,7.0,7.8,7.7,8.3,7.2,7.1,8.4,7.6,7.4,,7.2,7.4,7.4,7.5,7.9,8.0,7.5,7.9,8.7,,7.6
00035433,7.1,7.5,7.1,7.0,6.8,6.8,6.9,7.3,6.6,8.0,7.5,7.8,9.3,7.3,7.6,7.3,7.6,6.6,7.4,8.0,7.7,7.4,7.4,8.5,8.0,8.6,7.1,7.3,8.3,7.8,8.2,,7.6,7.6,8.4,8.3,7.9,9.6,8.1,8.3,8.2,,7.5
00035459,7.2,7.1,5.7,7.4,6.5,7.0,6.7,7.1,7.1,7.0,6.9,7.1,6.8,6.8,7.6,6.9,7.5,6.6,7.1,7.0,7.6,6.9,7.0,7.0,5.5,6.1,7.1,7.3,7.6,7.2,7.4,,7.0,7.6,7.0,7.6,7.3,7.6,7.5,7.1,7.1,,7.4
00035473,6.9,7.7,7.0,7.0,6.3,7.0,6.9,7.0,7.2,7.2,7.3,7.3,7.0,7.3,7.7,6.6,7.6,6.9,7.8,7.2,7.7,7.2,7.1,7.5,6.1,7.0,7.3,7.4,7.7,7.2,7.3,,7.5,7.6,8.8,8.1,7.6,7.5,7.8,7.6,8.6,,8.0
00035484,7.0,7.5,6.8,7.0,6.5,7.1,7.0,7.2,7.0,7.1,7.1,7.4,7.1,7.0,7.5,7.0,7.9,7.1,7.4,7.1,7.7,6.8,7.0,7.3,7.0,7.2,7.1,7.0,7.9,7.6,7.6,,7.2,7.6,7.4,7.9,7.4,7.5,7.3,7.4,7.5,,8.2
00035486,7.0,7.4,7.3,7.1,7.2,7.4,6.8,6.9,7.1,7.2,7.4,7.7,7.3,7.4,7.8,6.9,7.4,7.1,7.3,7.0,7.5,7.2,7.1,7.6,6.5,6.5,7.1,7.2,7.4,7.3,8.1,,7.8,7.9,7.7,8.0,7.7,8.0,8.6,7.6,8.1,,7.5
